# raindata from George Works
date,mm
20/6/2011,2.5
1/7/2011,2.5
2/7/2011,69.9
3/7/2011,44.5
4/7/2011,44.5
7/7/2011,5.1
8/7/2011,44.5
9/7/2011,6.4
10/7/2011,6.4
14/7/2011,63.5
17/7/2011,12.7
18/7/2011,19.1
19/7/2011,6.4
22/7/2011,3.8
23/7/2011,20.3
24/7/2011,20.3
25/7/2011,6.4
27/7/2011,2.5
28/7/2011,14
30/7/2011,15.2
1/8/2011,2.5
3/8/2011,6.4
4/8/2011,12.7
7/8/2011,20.3
8/8/2011,7.6
15/8/2011,38.1
16/8/2011,44.5
17/8/2011,15.2
18/8/2011,5.1
19/8/2011,12.7
22/8/2011,69.9
31/8/2011,5.1
8/9/2011,3.8
11/9/2011,7.6
12/9/2011,35.6
13/9/2011,17.8
14/9/2011,19.1
18/9/2011,10.2
19/9/2011,38.1
23/9/2011,5.1
26/9/2011,2.5
12/10/2011,10.2
15/10/2011,2.5
16/10/2011,7.6
18/10/2011,5.1
22/10/2011,7.6
29/10/2011,10.2
31/10/2011,31.8
3/11/2011,44.5
15/11/2011,19.1
17/11/2011,6.4
18/11/2011,5.1
24/11/2011,2.5
27/11/2011,139.7
28/11/2011,25.4
29/11/2011,2.5
3/12/2011,7.6
4/12/2011,50.8
5/12/2011,5.1
7/12/2011,2.5
10/12/2011,20.3
11/12/2011,120.7
22/12/2011,15.2
24/12/2011,2.5
29/12/2011,2.5
5/1/2012,33
6/1/2012,5.1
8/1/2012,1.3
16/1/2012,1.3
18/1/2012,22.9
19/1/2012,5.1
21/1/2012,7.6
22/1/2012,5.1
23/1/2012,2.5
24/1/2012,2.5
27/1/2012,1.3
31/1/2012,5.1
1/2/2012,5.1
2/2/2012,20.3
11/2/2012,12.7
25/2/2012,2.5
27/2/2012,5.1
29/2/2012,10.2
8/3/2012,5.1
11/3/2012,2.5
14/3/2012,2.5
23/3/2012,7.6
29/3/2012,5.1
11/4/2012,10.2
14/4/2012,25.4
15/4/2012,30.5
16/4/2012,2.5
29/4/2012,2.5
2/5/2012,2.5
3/5/2012,10.2
4/5/2012,63.5
5/5/2012,12.7
6/5/2012,30.5
7/5/2012,38.1
9/5/2012,7.6
10/5/2012,5.1
11/5/2012,2.5
17/5/2012,5.1
18/5/2012,2.5
19/5/2012,20.3
23/5/2012,12.7
1/7/2012,2.5
2/7/2012,2.5
19/7/2012,12.7
20/7/2012,2.5
22/7/2012,2.5
23/7/2012,1.3
27/7/2012,3.8
29/7/2012,1.3
30/7/2012,2.5
31/7/2012,10.2
1/8/2012,88.9
4/8/2012,5.1
6/8/2012,5.1
7/8/2012,2.5
16/8/2012,2.5
17/8/2012,25.4
18/8/2012,2.5
21/8/2012,2.5
22/8/2012,5.1
23/8/2012,5.1
24/8/2012,15.2
30/8/2012,3.8
31/8/2012,2.5
10/9/2012,35.6
12/9/2012,2.5
